"awb_master","lacre","awb","nota_fiscal","pedido","cidade","status_completo","status_atual"
"20448124","SOD1004105401","TXAS726794449tx","25882","3045520097214956848","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20451127","SOD1004109991","AMZB770194569tx","24367107","Bs1R8tw5l","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20448500","SOD1004110011","TXAS726846645tx","3687","3045533516854167084","Ibiúna","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20448124","SOD1004105401","TXAS727108813tx","1387","TB100359035BR","Araçariguama","PROCESSO DE ENTREGA","NA RUA"
"20448124","SOD1004105401","TXAS727151599tx","1473","TB100359075BR","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS727191694tx","9056311","105976197","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20448500","SOD1004110011","TXAS727191710tx","9056312","105980807","Sorocaba","EM ROTA (CAF: 20084783) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS727189532tx","9056313","105973637","Sorocaba","PROCESSO DE ENTREGA","NA RUA"
"20444766","SOD1004042471","TXAS727189540tx","9056314","105965813","Sorocaba","PROCESSO DE ENTREGA","NA RUA"
"20447192","SOD1004105371","TXAS727189615tx","9056317","105974456","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS727189722tx","9056318","105975312","Sorocaba","EM ROTA (CAF: 20086009) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446012","SOD1004042481","TXAS727189748tx","9056319","105974481","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS727189755tx","9056320","105967424","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS727189763tx","9056321","105969172","Sorocaba","DUAS OU MAIS VEZES AUSENTE/FECHADO (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NC CX"
"20446012","SOD1004042481","TXAS727189771tx","9056322","105983823","Sorocaba","EM ROTA (CAF: 20084783) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446012","SOD1004042481","TXAS727190241tx","9056336","105971534","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS727190753tx","9056356","105963055","Pilar Do Sul","PROCESSO DE ENTREGA","NA RUA"
"20446137","SOD1004105391","TXAS727191413tx","9056377","105978465","Mairinque","PROCESSO DE ENTREGA","NA RUA"
"20446137","SOD1004105391","TXAS727386161tx","67489","CI-604856","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20448923","SOD1004109971","AMZB770729860tx","13839","Bq06K6b1l","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20451939","SOD1004110001","TXAS727737983tx","1538","3046025843237291078","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20452086","SOD1267894","TXAS727874851tx","2531","2531","Sorocaba","EM ROTA (CAF: 20086787) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20449770","SOD1267884","TXAS727876971tx","2529","2529","Sorocaba","EM ROTA (CAF: 20086787) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20452086","SOD1267894","TXAS727881666tx","2528","2528","Sorocaba","EM ROTA (CAF: 20086787) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20452086","SOD1267894","TXAS727884827tx","2523","2523","Sorocaba","EM ROTA (CAF: 20086787) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20452086","SOD1267894","TXAS727881617tx","2530","2530","Sorocaba","EM ROTA (CAF: 20086787) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","AMZB771000939tx","31205","Br3RqpVJ0","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20450700","SOD1004109981","TXAS727996852tx","2110","2110","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20450700","SOD1004109981","TXAS728072034tx","27478","151944676-1","Piedade","EM ROTA (CAF: 20074185) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446012","SOD1004042481","AMZB771142828tx","8249","BpgcWJtn0","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20451127","SOD1004109991","TXAS728134040tx","31779","31779","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","AMZB771140714tx","31238","Bj4vb4kn0","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20452329","SOD1004110021","TXAS728155235tx","20477","BR258097818290P","Araçariguama","PROCESSO DE ENTREGA","NA RUA"
"20452712","SOD1004127421","TXAS728217662tx","268110","422799","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20444766","SOD1004042471","TXAS728259870tx","88650","9542723","Piedade","EM ROTA (CAF: 20074185) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20449770","SOD1267884","TXAS728349259tx","64270","642703","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20450700","SOD1004109981","AMZB770636898tx","24415098","BfZ2lVVpl","Piedade","EM ROTA (CAF: 20074185) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20453140","SOD1004110031","TXAS728450735tx","15610","3046236675523053223","Itu","EM ROTA (CAF: 20086482) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20447192","SOD1004105371","TXAS728458589tx","16050","3046237161767732492","Votorantim","EM ROTA (CAF: 20086582) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448124","SOD1004105401","TXAS728478488tx","16359","3046242192414835956","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20453140","SOD1004110031","TXAS728492885tx","1567","3046245442712864300","Ibiúna","EM ROTA (CAF: 20084735) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20447192","SOD1004105371","TXAS728494196tx","16410","3046245451755521249","Sorocaba","EM ROTA (CAF: 20084783) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20451939","SOD1004110001","TXAS728493222tx","16683","3046244867754657498","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20453140","SOD1004110031","TXAS728501503tx","17192","3046245492595459274","Pilar Do Sul","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446012","SOD1004042481","TXAS728498510tx","17395","3046241457288349379","Votorantim","EM ROTA (CAF: 20086582) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448124","SOD1004105401","TXAS728501263tx","17480","3046246742494250482","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20449770","SOD1267884","TXAS728510843tx","1137273","3522639","Sorocaba","EM ROTA (CAF: 20086787) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20444584","sod1236984","TXAR101579944TX","130055406","RmngzIaval8UtQSieWvq","Votorantim","EM ROTA (CAF: 20087138) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20444766","SOD1004042471","TXAS728521626tx","132088","6659581280514","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS728559675tx","43905","165456","Itu","EM ROTA (CAF: 20086482) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS728621350tx","3014","15824035462","Sorocaba","EM ROTA (CAF: 20086448) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS728681404tx","116434","116434","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20444766","SOD1004042471","TXAS728844572tx","9059067","106002076","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS728844614tx","9059068","106000985","Sorocaba","EM ROTA (CAF: 20086009) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS728844754tx","9059069","105986361","Sorocaba","EM ROTA (CAF: 20084783) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS728844812tx","9059070","105987402","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20444766","SOD1004042471","TXAS728849530tx","9059071","105998902","Sorocaba","EM ROTA (CAF: 20084783) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS728847971tx","9059072","105988826","Sorocaba","EM ROTA (CAF: 20084783) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS728846866tx","9059087","106000790","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20447192","SOD1004105371","TXAS729242883tx","878346","3046380200902559398","Mairinque","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","AMZB771360433tx","1","B5m3RV4q0","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20448923","SOD1004109971","AMZB771134494tx","32401321","Bx0XXyW0l","Piedade","EM ROTA (CAF: 20074185) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20447192","SOD1004105371","AMZB771354566tx","23033","B8WdCMKv0","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","AMZB771359969tx","1","BQ50Gr5N0","Votorantim","EM ROTA (CAF: 20086582) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448124","SOD1004105401","TXAS729300145tx","1793","TB100362734BR","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS729301093tx","16416","3046458130175002548","Sorocaba","EM ROTA (CAF: 20084783) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20449770","SOD1267884","TXAS729361923tx","376802","376802","Mairinque","FALTA DE COMPLEMENTO FISICO - - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","FALTA COMPLEMENTO"
"20449770","SOD1267884","TXAS729361931tx","376802","376802","Mairinque","FALTA DE COMPLEMENTO FISICO - - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","FALTA COMPLEMENTO"
"20449770","SOD1267884","TXAS729361642tx","376802","376802","Mairinque","FALTA DE COMPLEMENTO FISICO - - SOD ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","FALTA COMPLEMENTO"
"20446137","SOD1004105391","TXAS729381475tx","67215","BR-18543544","Araçoiaba Da Serra","PROCESSO DE ENTREGA","NA RUA"
"20446137","SOD1004105391","TXAS729495846tx","1053251","151985273-1","Sorocaba","EM ROTA (CAF: 20086611) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448744","SOD1004109961","TXAS729604124tx","187689","3046750013484401974","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20448500","SOD1004110011","TXAS729605436tx","29852","29852","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20447192","SOD1004105371","TXAS729615914tx","80541","3046753940424000904","Ibiúna","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20452329","SOD1004110021","TXAS729634089tx","7958","3046760289070450013","Sorocaba","EM ROTA (CAF: 20084783) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20454741","SOD1004127411","TXAS729644815tx","11011","3046762505708340556","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20450700","SOD1004109981","TXAS729659201tx","270565","2414417394005-1","Sorocaba","EM ROTA (CAF: 20086008) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20452422","sod1003238330","TXAS729662841tx","99310","99310","Sorocaba","EM ROTA (CAF: 20086008) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20452422","sod1003238330","TXAS729661686tx","99315","99315","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS729682344tx","116838","116838","Porto Feliz","EM ROTA (CAF: 20084187) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448500","SOD1004110011","TXAS729710541tx","234794","2414338732494-1","São Roque","EM ROTA (CAF: 20084913) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448500","SOD1004110011","TXAS729715532tx","356329","BR258438604159H","Araçariguama","PROCESSO DE ENTREGA","NA RUA"
"20446137","SOD1004105391","AMZB771643965tx","31261","BLVbX5v50","Sorocaba","EM ROTA (CAF: 20086009) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS729770271tx","53623","1564230598559-01","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","AMZB771640667tx","55289","Bxfpdmk0l","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS729781740tx","116287","116287","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20433112","JA20433112","TXAS729784108tx","321073","2414536234360-2","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20433112","JA20433112","TXAS729829119tx","321092","2414547643318-1","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS729841759tx","44591","1564300537862-01","Ibiúna","EM ROTA (CAF: 20084735) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448744","SOD1004109961","TXAS729848242tx","148929","2414517812030-3","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20433112","JA20433112","TXAS729849349tx","320902","2414562968058-3","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20447192","SOD1004105371","AMZB771697629tx","39850","Bf1xRcmxl","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20445769","sod1237164","TXAS729870287tx","1346003","8445316","Sorocaba","PROCESSO DE ENTREGA","NA RUA"
"20433112","JA20433112","AMZB768181988tx","24240043","BxyyRJCrl","São Roque","EM ROTA (CAF: 20084913) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20450700","SOD1004109981","TXAS729938878tx","8665494","T68D6925141BE5","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20448744","SOD1004109961","TXAS729969543tx","3835","3046841008527017363","Sorocaba","EM ROTA (CAF: 20086009) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448923","SOD1004109971","AMZB771737778tx","22659","BrtRlpnMl","Sorocaba","EM ROTA (CAF: 20086382) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448124","SOD1004105401","TXAS729983635tx","706705697","001706705697","Mairinque","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20445967","sod1237374","TXAS730033115tx","1182344","8444889","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20447192","SOD1004105371","TXAS730071594tx","26607","3046862964126615152","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20450700","SOD1004109981","TXAS730101508tx","145565","2414430733195-1","Votorantim","EM ROTA (CAF: 20086377) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS730105368tx","15956","MZ202509431028ST","Sorocaba","EM ROTA (CAF: 20086008) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448124","SOD1004105401","TXAS730113362tx","706762406","001706762406","Mairinque","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20451939","SOD1004110001","TXAS730114550tx","7055","3046870620745926633","Sorocaba","EM ROTA (CAF: 20086009) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS730130515tx","116868","116868","Ibiúna","PROCESSO DE ENTREGA","NA RUA"
"20446137","SOD1004105391","TXAS730130978tx","7966","54147","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS730129707tx","116820","116820","Porto Feliz","EM ROTA (CAF: 20084187) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS730142569tx","30678","1473270272174095","Sao Roque","EM ROTA (CAF: 20084913) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446012","SOD1004042481","TXAS730149119tx","337063","3046883435066328715","Sorocaba","PROCESSO DE ENTREGA","NA RUA"
"20451127","SOD1004109991","TXAS730174380tx","6500","3046888750984168596","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20447192","SOD1004105371","TXAS730174604tx","260272","000260272","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20448500","SOD1004110011","TXAS730181377tx","1682","3046892364611814805","Sorocaba","PROCESSO DE ENTREGA","NA RUA"
"20450700","SOD1004109981","AMZB771800506tx","1664","BTfckFswl","Pilar Do Sul","PROCESSO DE ENTREGA","NA RUA"
"20450700","SOD1004109981","TXAS730185386tx","8666531","T68D6A98911C56","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20451939","SOD1004110001","TXAS730186475tx","80357","3046348572248213078","Salto De Pirapora","EM ROTA (CAF: 20084848) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20451939","SOD1004110001","TXAS730189206tx","1569344","3046895625309750416","Ibiúna","PROCESSO DE ENTREGA","NA RUA"
"20446137","SOD1004105391","TXAS730214954tx","48530","8QN4xzLFO0GbRKycJNvZ","Salto De Pirapora","EM ROTA (CAF: 20084848) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446012","SOD1004042481","TXAS730215340tx","337094","3046903195645740643","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","TXAS730215464tx","52386","3046903211720672403","Sorocaba","EM ROTA (CAF: 20086448) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20455289","SOD1004135921","TXAS730224995tx","268394","423095","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20446137","SOD1004105391","AMZB771837865tx","172791","BFZq86Rxl","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20448923","SOD1004109971","AMZB771732931tx","24534681","BBT3Pqjbl","Sorocaba","EM ROTA (CAF: 20086008) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20451127","SOD1004109991","TXAS730310992tx","22674","261410413196858","Sorocaba","EM ROTA (CAF: 20084783) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446137","SOD1004105391","TXAS730308160tx","48593","H6mF0OauE0pc0qcQbR2","Alumínio","EM ROTA (CAF: 20084481) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20448923","SOD1004109971","AMZB771851397tx","1","BKR7CVLKl","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20449770","SOD1267884","TXAS730320355tx","2167627","2167627","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20449770","SOD1267884","TXAS730320363tx","2167627","2167627","Sorocaba","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
"20451939","SOD1004110001","TXAS730318706tx","16464","3046944417825916759","Porto Feliz","EM ROTA (CAF: 20084187) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","NA BASE"
"20446012","SOD1004042481","TXAS730335130tx","63850","3046313660507195122","Itu","ENTREGA REALIZADA (mobile) ADRIANO BRAZ DE ALBUQUERQUE 3ºT HUB","ENTREGA REALIZADA"
